,A,B,C,D
2020-01-01,0.003447170797544314,-0.009999841062404957,0.007904511958064572,0.009805647163912138
2020-01-02,-0.019110351886538365,-0.012621795068623182,0.0016784040316728537,-0.002762425923435822
2020-01-03,0.00023198842495711206,-0.008130439275735802,0.009193979748628286,0.008177919354289484
2020-01-06,0.0010603069756121605,0.011672412069680328,0.005075093422520456,-0.008192924628832383
2020-01-07,0.004087507840824988,-0.009188826008289989,0.009184503013072725,-9.925910986252894e-05
2020-01-08,-0.0014486236354526057,-0.0064092954440394135,0.012625413386740302,-0.0011452948206880217
2020-01-09,-0.0038832782216310724,-0.003121335504882296,0.005723091855533487,0.004054440643640783
2020-01-10,0.004527326115959884,0.0047082100300788274,0.021816476008704615,-0.003664150163846156
2020-01-13,-0.004722427290715373,-0.007737727282478777,0.006559794225754957,0.011689722927208915
2020-01-14,-0.0007394745765487507,-0.008001564769625281,-0.007844812156912396,0.006905927878247012
2020-01-15,0.007832541712034423,0.00583154268305195,-0.006255097072886943,0.002721613230667198
2020-01-16,0.0015668580914072823,0.0025868859672901296,0.009114287779481898,0.002635955487746823
2020-01-17,0.0071891356307189494,0.0010757906948889147,0.0032911939868998418,0.006712882258385404
2020-01-20,-0.014171558198556665,-0.0027967121635730135,-0.004303726542927955,-0.005988778482433419
2020-01-21,-0.002351422512266837,0.015349413112343958,-0.008258311156932433,0.010082783545914808
2020-01-22,-0.01642869771615805,-0.0029488502998577483,0.002027530651050056,0.006262223313592782
2020-01-23,0.00751226579792855,0.008333472351999252,-0.0030872507224843754,-0.004223517926645671
2020-01-24,0.008979758812571539,-0.001513043248816149,-0.01235686323337922,-0.010932872140034808
2020-01-27,-0.008794522860016115,0.005371607440537641,0.0018242573607056525,0.007304853540677682
2020-01-28,-0.003872526463365343,0.001985396910767142,0.006655903939673367,-0.0026934653972023838
2020-01-29,0.004967752375574115,-0.0062192594106665125,-0.003230538465650718,-0.003417378939983291
2020-01-30,-0.011558396455890397,0.005269724807855819,-0.004294023402027239,0.0005249411872768743
2020-01-31,0.00520746658905909,0.004865311760299441,0.007053851089727863,-0.0005848548450942362
2020-02-03,-0.0038329831204415377,-0.00039718210906399047,-0.0164733443395803,-0.014071124724230874
2020-02-04,-0.012826996123544024,-0.00957246827601482,0.004397742267234366,-0.008654790553600609
2020-02-05,-0.003381625540393897,0.013392282977860654,-0.0031626397106142594,0.007775155684670866
2020-02-06,-0.00893617680009877,-0.0016543755786763003,-0.009100220549105814,-0.0029903307590056247
2020-02-07,0.008803081374573954,-0.016873204231923487,0.0047442364354585735,0.002777356023322779
2020-02-10,-0.005541499556967944,-0.014060578543884547,0.0011212950771386952,-0.004894927090638024
2020-02-11,0.0027267621135470396,0.0006185214552344288,0.016417788913209157,-0.0019935562747302425
2020-02-12,-0.00983497492621865,0.0021927563495631615,0.0025999668397176517,0.013991875752404365
2020-02-13,0.008751112459145784,0.003968710591495094,0.015033028912195618,-0.01148763054322851
2020-02-14,-0.005997515327497477,-0.00886575941405525,-0.0034980980315576795,-0.01336686147556309
2020-02-17,0.006751509468144044,-0.0018222269709877337,-0.01430806294502658,-0.009755790812075418
2020-02-18,0.003535138474501953,0.00878126567894381,0.020367308916917865,0.029538624660073298
2020-02-19,0.004544094332759964,-0.009495381200318643,-0.020920462807313092,0.0030771146234383584
2020-02-20,-0.0077294109531032594,-0.003753572601796853,-0.0057209679905980805,-0.0010079088641638527
2020-02-21,0.011059802307876435,0.0019704856744534463,-0.001186348370386883,-0.009956537528258117
2020-02-24,-0.01634682944704357,-0.004463079090733309,-0.00013782550818320494,0.01807929913579883
2020-02-25,0.0017027452147288585,0.010227395110230575,-0.00459295598539152,-0.011449437664170246
2020-02-26,-0.00925116762232372,-0.006852260645357532,0.021684697324351646,-0.007813866792243862
2020-02-27,0.008784892037363448,-0.008629271780870265,0.00971573012874244,0.004249509661058632
2020-02-28,-0.0011663789765809043,-7.625261354340224e-06,-0.006147876954293904,0.004860722014820806
2020-03-02,-0.0041498348034078,-0.011856057637672482,-0.012379375743196194,0.002125879177221195
2020-03-03,0.016190912564104352,0.0019999161357343825,-0.0007863832610988256,0.003258261396025429
2020-03-04,0.013460017417068247,0.0025938250136385635,-0.0037092723083373717,0.011462887100598888
2020-03-05,0.004687564384616135,0.01575755991995992,0.0022323443722190614,-0.011844690317205003
2020-03-06,-0.01328159199245665,0.016909279322312495,0.017636657207832973,-0.0013951921328260064
2020-03-09,-0.0034318732113598773,0.015014442922422022,-0.01067045682043488,-0.008547270189558264
2020-03-10,0.006833267946890444,-0.0035460512285958963,0.00034878133279928704,-0.0012344289852451258
2020-03-11,0.003775745487989336,0.014474818613137168,0.0013058490690174556,0.006839387932768579
2020-03-12,-0.020101721010310224,-8.71840193011795e-05,-0.008032302702928712,-0.011788130604236282
2020-03-13,-0.00838152366928751,-0.0029412344070081204,0.00955902542356013,-0.01286392717739564
2020-03-16,0.0007063149259441744,-0.004441694333335785,-0.0028767309436196083,0.01042757825304604
2020-03-17,0.005781154370039261,0.013773981074427436,-0.0011450567924990048,-0.0065594261167070305
2020-03-18,-0.0018385881688049953,0.002824967912712216,0.0021657335845371105,-0.010443880722333666
2020-03-19,0.0013048978162787423,0.002682283301389052,0.025574740375339206,0.019168446112816703
2020-03-20,-0.008132433505588201,-0.002473833615491761,-0.014234420018370032,-0.005507070139634865
2020-03-23,0.003556050035903405,0.012458536208882336,-0.006890838377436085,-0.006141464400677966
2020-03-24,-0.02107289029738655,-0.0012266592054490768,-0.010224144118595633,-0.004894394273660737
2020-03-25,-0.008368607781675884,-0.00054262554252557,-0.01717728391356631,-0.014270452453909907
2020-03-26,0.021692471120282983,-0.012474225812740311,-0.010567855784546398,0.018769135283213143
2020-03-27,0.02945067169240407,-0.011315666288253418,-0.0032824895678803053,0.003815555509405096
2020-03-30,0.017686976444055924,-0.009468570784282376,-0.0020527784594210974,0.00817337576061744
2020-03-31,0.004747660744666186,-0.0033615607123009925,-0.0009382296451604115,-0.013348958083699819
2020-04-01,-0.001981737439746652,-0.002263874900089551,0.0027216988962625597,-0.00515327218819016
2020-04-02,0.00511538522545139,0.010527158178198284,0.0019542932766846606,0.003917564083992035
2020-04-03,0.0009315534757786737,0.00040084393091414184,-0.006815580335428474,0.0035649426167330806
2020-04-06,-0.0005728659841348948,0.02133168308930595,0.016133549024752426,0.004258465525565008
2020-04-07,-0.007230572096947675,-0.01072411471983418,0.012311429530888651,0.003027492251471385
2020-04-08,0.005201434033916108,-0.017045859869741924,0.009674384815581806,0.0049442033821436296
2020-04-09,-0.01070430684414478,-0.00431524807449949,0.003037172043565196,0.0009246679835624363
2020-04-10,-0.00252171185803555,-0.0006348826806596086,-0.0021197737820688534,0.0019256251210246858
2020-04-13,0.01511491972993157,-0.025266584409312974,-0.0019685026450968423,0.0021651242137244696
2020-04-14,0.003359939896870995,-0.0033191458132128984,-0.017167217824785825,0.0036799548371410965
2020-04-15,0.01767350214164185,-0.014938614049161377,0.009038280136981882,-0.002885252231228939
2020-04-16,-0.00021324345828847298,-0.010128985107039492,-0.0029445617235587663,0.013400445946989584
2020-04-17,0.00622655241987707,0.017723116054099444,0.012174118889776936,0.004790866789295762
2020-04-20,0.017839345261677922,0.004789931587382988,0.008679881767970589,-0.0025657095353470833
2020-04-21,0.0010654581585920484,-0.006574238233002769,0.01029583934594853,-0.011383036231148657
